Attributes,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume
Symbols,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax
2008-11-07,2156.59,265.47,3469.12,679.2,6008.16,4938.46,2177.76,268.44,3509.92,684.19,6071.59,5018.41,2108.41,257.7,3351.22,658.02,5928.25,4751.24,2129.56,260.67,3393.39,658.02,5966.01,4827.56,19984902.0,,141948912.0,157418944.0,81584312.0,145958512.0
2008-11-10,2187.89,267.13,3505.75,684.71,6090.62,5025.53,2228.3,278.16,3612.28,708.12,6232.97,5135.15,2181.79,265.96,3489.72,679.2,6083.6,4998.04,2201.52,268.49,3558.65,679.2,6166.46,5024.43,17071404.0,,110123240.0,140104112.0,67010196.0,121306704.0
2008-11-11,2133.24,257.6,3336.41,649.46,5880.79,4761.58,2170.99,264.82,3460.13,684.71,6038.33,4984.32,2121.84,256.99,3328.31,645.92,5830.96,4742.48,2170.99,264.82,3453.65,684.71,5979.37,4984.32,16451964.0,,123428632.0,136857712.0,90479120.0,159103904.0
2008-11-12,2057.46,249.3,3233.96,630.26,5702.86,4620.8,2169.12,262.8,3410.09,661.64,5970.93,4875.66,2050.76,247.99,3218.28,623.7,5668.13,4555.44,2167.63,257.18,3407.36,649.46,5957.97,4801.9,21501300.0,,149472528.0,179357696.0,94285960.0,167327040.0
2008-11-13,2062.82,249.87,3269.46,634.72,5740.04,4649.52,2090.31,251.8,3293.98,644.06,5761.48,4713.78,2022.07,243.7,3183.65,623.32,5645.75,4524.89,2031.62,244.73,3196.03,630.26,5646.13,4599.64,19841544.0,,142082416.0,180979840.0,82306456.0,142433584.0
2008-11-14,2061.08,252.77,3291.47,635.59,5834.75,4710.24,2127.38,258.88,3378.93,656.99,5901.08,4874.16,2050.02,250.3,3269.56,630.35,5786.9,4695.79,2125.09,250.3,3370.86,634.72,5878.96,4723.29,22463054.0,,148408784.0,152676752.0,74268368.0,139067056.0
2008-11-17,2034.28,246.18,3182.03,631.92,5646.43,4557.27,2080.5,253.99,3309.62,641.37,5845.55,4733.79,2001.92,245.27,3166.79,623.51,5615.39,4512.21,2069.7,252.47,3283.57,635.59,5805.43,4700.5,22058396.0,,138181872.0,108691520.0,65963760.0,137085728.0
2008-11-18,2030.96,250.06,3217.4,627.37,5675.58,4579.47,2039.08,250.78,3227.75,633.57,5730.28,4607.54,1992.83,239.36,3103.54,609.07,5547.01,4445.88,2032.54,246.74,3194.16,631.92,5662.75,4556.48,25950084.0,,163390384.0,144781440.0,80865632.0,145021664.0
2008-11-19,1945.3,238.53,3087.89,594.12,5524.06,4354.09,2042.71,250.44,3215.51,629.7,5714.23,4586.69,1945.3,238.53,3085.14,594.12,5476.2,4337.92,2042.05,250.44,3215.51,627.37,5703.57,4586.33,27842480.0,,160738032.0,159725312.0,82444296.0,185904384.0
2008-11-20,1861.99,227.82,2980.42,587.71,5306.1,4220.2,1905.04,237.9,3037.36,594.12,5443.14,4313.16,1846.06,223.97,2917.98,572.47,5172.84,4113.49,1898.71,237.9,3000.14,594.12,5426.53,4274.98,29126720.0,,199075120.0,190921056.0,129716624.0,206255232.0
2008-11-21,1783.7,222.96,2881.26,567.61,5144.02,4127.41,1894.59,232.88,3041.11,594.8,5374.87,4296.86,1783.7,220.31,2838.5,560.94,5034.41,4034.96,1872.79,227.97,3005.19,587.71,5361.54,4228.31,33290252.0,,166674512.0,188223088.0,114442312.0,204209856.0
2008-11-24,1828.18,244.97,3172.11,626.46,5466.4,4554.33,1843.83,244.97,3172.11,629.23,5470.18,4579.07,1797.53,222.94,2931.49,567.61,5192.65,4154.55,1804.89,222.94,2959.52,567.61,5236.56,4167.71,30901886.0,,189658992.0,197755744.0,99586272.0,211675904.0
2008-11-25,1848.89,245.29,3209.56,634.02,5478.39,4560.42,1880.2,250.87,3260.81,644.55,5609.95,4693.1,1812.27,240.37,3104.36,614.37,5389.91,4455.3,1819.31,245.81,3126.38,626.46,5393.73,4521.85,60373380.0,,168341440.0,258695712.0,129418488.0,200744464.0
2008-11-26,1809.26,245.4,3169.85,628.86,5498.56,4560.5,1850.25,249.29,3213.16,638.79,5515.51,4612.22,1786.94,238.2,3095.06,617.49,5326.38,4423.67,1843.06,245.07,3183.7,634.02,5433.63,4528.55,32568508.0,,135295632.0,192007824.0,84862056.0,137166720.0
2008-11-27,1866.96,252.8,3250.39,645.51,5640.8,4665.27,1866.96,252.8,3254.76,645.62,5640.8,4682.91,1825.79,245.73,3205.25,628.86,5513.6,4589.16,1838.84,245.73,3223.4,628.86,5521.0,4596.4,28604660.0,,98927048.0,139648224.0,57944132.0,118322544.0
2008-11-28,1881.46,252.3,3262.68,641.74,5816.6,4669.44,1881.46,254.35,3262.68,647.88,5816.6,4703.67,1837.74,247.66,3177.3,628.79,5613.47,4566.84,1875.24,253.21,3239.38,645.51,5656.49,4666.41,34282744.0,,124164856.0,160786832.0,72422048.0,138307936.0
2008-12-01,1785.79,235.54,3080.43,607.09,5527.58,4394.79,1880.77,252.6,3272.09,642.63,5790.1,4667.91,1780.35,235.54,3071.99,605.41,5514.81,4367.92,1878.71,249.67,3261.33,641.74,5786.9,4653.12,24878784.0,,116988440.0,117367448.0,68229056.0,149138800.0
2008-12-02,1814.15,241.09,3152.9,636.64,5537.59,4531.79,1814.89,241.6,3160.3,636.64,5575.48,4572.18,1757.25,229.37,3011.8,591.7,5403.71,4304.03,1763.65,235.41,3029.85,607.09,5471.28,4349.13,34957152.0,,139373792.0,169186784.0,74965520.0,170007264.0
2008-12-03,1848.01,241.83,3166.65,643.66,5604.23,4567.24,1856.36,243.3,3183.5,645.37,5617.17,4602.88,1800.39,233.97,3056.03,622.89,5414.88,4377.63,1834.44,241.2,3147.42,636.64,5510.17,4508.88,33718124.0,,117296624.0,157215232.0,78509280.0,242570128.0
2008-12-04,1848.32,241.21,3161.16,640.39,5649.14,4564.23,1880.28,248.55,3257.15,664.36,5724.9,4732.93,1830.33,237.1,3109.16,634.04,5526.09,4491.86,1847.31,241.54,3160.4,643.66,5562.0,4559.98,43743020.0,,142487360.0,178768560.0,97592720.0,186889632.0
2008-12-05,1800.87,229.44,2988.01,608.64,5530.84,4381.47,1842.66,239.2,3124.98,640.39,5604.82,4530.7,1788.68,227.77,2971.8,603.65,5455.89,4321.64,1834.96,238.19,3118.74,640.39,5573.54,4529.2,33583624.0,,152658464.0,149741568.0,75661648.0,176909136.0
2008-12-08,1902.96,247.69,3247.48,666.65,5818.82,4715.88,1902.96,248.8,3253.27,668.97,5818.82,4775.71,1858.34,231.72,3154.03,608.64,5701.41,4548.87,1873.66,231.72,3190.5,608.64,5787.03,4548.87,35142004.0,,166173024.0,180582192.0,89528800.0,186376800.0
2008-12-09,1885.83,253.43,3297.8,685.42,5845.56,4779.11,1904.77,256.33,3342.84,692.21,5910.04,4850.39,1862.26,244.06,3198.51,653.76,5733.14,4622.24,1881.77,246.72,3211.15,666.65,5769.61,4673.52,31020794.0,,171652544.0,230001104.0,89876208.0,172239248.0
2008-12-10,1906.24,256.04,3320.31,688.33,5751.91,4804.88,1906.63,257.15,3331.3,688.61,5856.35,4839.14,1871.32,251.16,3261.56,672.13,5711.15,4742.9,1885.32,253.4,3310.06,685.42,5812.96,4810.48,25186762.0,,121224750.0,173708016.0,66837312.0,142199744.0
